timesteps,techs,parameters,value
2016-01-06 19:00:00,import_electricity,cost_flow_out,0.004410522
2016-01-06 19:00:00,export_electricity,cost_flow_in,-0.004410522
2016-01-06 20:00:00,import_electricity,cost_flow_out,0.004404255
2016-01-06 20:00:00,export_electricity,cost_flow_in,-0.004404255
2016-01-06 21:00:00,import_electricity,cost_flow_out,0.003363415
2016-01-06 21:00:00,export_electricity,cost_flow_in,-0.003363415
2016-01-06 22:00:00,import_electricity,cost_flow_out,0.001718139
2016-01-06 22:00:00,export_electricity,cost_flow_in,-0.001718139
2016-01-06 23:00:00,import_electricity,cost_flow_out,0.00164521
2016-01-06 23:00:00,export_electricity,cost_flow_in,-0.00164521
2016-01-07 00:00:00,import_electricity,cost_flow_out,0.001642864
2016-01-07 00:00:00,export_electricity,cost_flow_in,-0.001642864
2016-01-07 01:00:00,import_electricity,cost_flow_out,0.001638577
2016-01-07 01:00:00,export_electricity,cost_flow_in,-0.001638577
2016-01-07 02:00:00,import_electricity,cost_flow_out,0.00161901
2016-01-07 02:00:00,export_electricity,cost_flow_in,-0.00161901
2016-01-07 03:00:00,import_electricity,cost_flow_out,0.001637924
2016-01-07 03:00:00,export_electricity,cost_flow_in,-0.001637924
2016-01-07 04:00:00,import_electricity,cost_flow_out,0.001643983
2016-01-07 04:00:00,export_electricity,cost_flow_in,-0.001643983
2016-01-07 05:00:00,import_electricity,cost_flow_out,0.003361519
2016-01-07 05:00:00,export_electricity,cost_flow_in,-0.003361519
2016-01-07 06:00:00,import_electricity,cost_flow_out,0.004409192
2016-01-07 06:00:00,export_electricity,cost_flow_in,-0.004409192
2016-01-07 07:00:00,import_electricity,cost_flow_out,0.004409959
2016-01-07 07:00:00,export_electricity,cost_flow_in,-0.004409959
2016-01-07 08:00:00,import_electricity,cost_flow_out,0.004410302
2016-01-07 08:00:00,export_electricity,cost_flow_in,-0.004410302
2016-01-07 09:00:00,import_electricity,cost_flow_out,0.004409434
2016-01-07 09:00:00,export_electricity,cost_flow_in,-0.004409434
2016-01-07 10:00:00,import_electricity,cost_flow_out,0.004393925
2016-01-07 10:00:00,export_electricity,cost_flow_in,-0.004393925
2016-01-07 11:00:00,import_electricity,cost_flow_out,0.003761737
2016-01-07 11:00:00,export_electricity,cost_flow_in,-0.003761737
2016-01-07 12:00:00,import_electricity,cost_flow_out,0.003761059
2016-01-07 12:00:00,export_electricity,cost_flow_in,-0.003761059
2016-01-07 13:00:00,import_electricity,cost_flow_out,0.003762128
2016-01-07 13:00:00,export_electricity,cost_flow_in,-0.003762128
2016-01-07 14:00:00,import_electricity,cost_flow_out,0.00440581
2016-01-07 14:00:00,export_electricity,cost_flow_in,-0.00440581
2016-01-07 15:00:00,import_electricity,cost_flow_out,0.004411252
2016-01-07 15:00:00,export_electricity,cost_flow_in,-0.004411252
2016-01-07 16:00:00,import_electricity,cost_flow_out,0.004412275
2016-01-07 16:00:00,export_electricity,cost_flow_in,-0.004412275
2016-01-07 17:00:00,import_electricity,cost_flow_out,0.004412193
2016-01-07 17:00:00,export_electricity,cost_flow_in,-0.004412193
2016-01-07 18:00:00,import_electricity,cost_flow_out,0.004411937
2016-01-07 18:00:00,export_electricity,cost_flow_in,-0.004411937
2016-01-07 19:00:00,import_electricity,cost_flow_out,0.004411307
2016-01-07 19:00:00,export_electricity,cost_flow_in,-0.004411307
2016-01-07 20:00:00,import_electricity,cost_flow_out,0.00440943
2016-01-07 20:00:00,export_electricity,cost_flow_in,-0.00440943
2016-01-07 21:00:00,import_electricity,cost_flow_out,0.004375494
2016-01-07 21:00:00,export_electricity,cost_flow_in,-0.004375494
2016-01-07 22:00:00,import_electricity,cost_flow_out,0.003357939
2016-01-07 22:00:00,export_electricity,cost_flow_in,-0.003357939
2016-01-07 23:00:00,import_electricity,cost_flow_out,0.003352127
2016-01-07 23:00:00,export_electricity,cost_flow_in,-0.003352127
2016-01-08 00:00:00,import_electricity,cost_flow_out,0.003336047
2016-01-08 00:00:00,export_electricity,cost_flow_in,-0.003336047
2016-01-08 01:00:00,import_electricity,cost_flow_out,0.003329469
2016-01-08 01:00:00,export_electricity,cost_flow_in,-0.003329469
2016-01-08 02:00:00,import_electricity,cost_flow_out,0.003349921
2016-01-08 02:00:00,export_electricity,cost_flow_in,-0.003349921
2016-01-08 03:00:00,import_electricity,cost_flow_out,0.003353815
2016-01-08 03:00:00,export_electricity,cost_flow_in,-0.003353815
2016-01-08 04:00:00,import_electricity,cost_flow_out,0.003361266
2016-01-08 04:00:00,export_electricity,cost_flow_in,-0.003361266
2016-01-08 05:00:00,import_electricity,cost_flow_out,0.004410098
2016-01-08 05:00:00,export_electricity,cost_flow_in,-0.004410098
2016-01-08 06:00:00,import_electricity,cost_flow_out,0.00441257
2016-01-08 06:00:00,export_electricity,cost_flow_in,-0.00441257
2016-01-08 07:00:00,import_electricity,cost_flow_out,0.004411669
2016-01-08 07:00:00,export_electricity,cost_flow_in,-0.004411669
2016-01-08 08:00:00,import_electricity,cost_flow_out,0.004410363
2016-01-08 08:00:00,export_electricity,cost_flow_in,-0.004410363
2016-01-08 09:00:00,import_electricity,cost_flow_out,0.004397741
2016-01-08 09:00:00,export_electricity,cost_flow_in,-0.004397741
2016-01-08 10:00:00,import_electricity,cost_flow_out,0.00438254
2016-01-08 10:00:00,export_electricity,cost_flow_in,-0.00438254
2016-01-08 11:00:00,import_electricity,cost_flow_out,0.003912641
2016-01-08 11:00:00,export_electricity,cost_flow_in,-0.003912641
2016-01-08 12:00:00,import_electricity,cost_flow_out,0.004406538
2016-01-08 12:00:00,export_electricity,cost_flow_in,-0.004406538
2016-01-08 13:00:00,import_electricity,cost_flow_out,0.00441264
2016-01-08 13:00:00,export_electricity,cost_flow_in,-0.00441264
2016-01-08 14:00:00,import_electricity,cost_flow_out,0.004413203
2016-01-08 14:00:00,export_electricity,cost_flow_in,-0.004413203
2016-01-08 15:00:00,import_electricity,cost_flow_out,0.004413387
2016-01-08 15:00:00,export_electricity,cost_flow_in,-0.004413387
2016-01-08 16:00:00,import_electricity,cost_flow_out,0.004413521
